Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
Homeserve Technologies Inc.,2005.00,16.00,0.00,9.24,9.24,9.23,7.25,25.60,31.90,1.24,7.80,0.00,1.00,0.00,24.36,20.65,0.00,,
"Mewbourne Energy Partners 05-A, L.P.",2005.00,16.00,0.00,0.76,0.74,0.87,0.73,13.50,28.90,0.65,0.40,0.00,1.16,0.00,12.85,20.87,0.00,,
OPT-Sciences Corporation (OTCPK:OPST),2005.00,16.00,0.00,4.24,1.35,0.38,0.75,7.56,8.24,0.25,0.79,0.00,0.09,0.00,7.32,30.86,0.00,,
Connacher Oil and Gas Limited,2005.00,16.00,0.00,7.80,5.71,0.85,2.40,66.70,115.70,1.99,3.32,0.00,0.11,0.00,64.71,33.52,0.00,,
The Depository Trust & Clearing Corporation,2005.00,16.00,0.00,751.20,258.40,16.90,88.20,18639.80,19364.20,505.70,1588.20,0.00,0.02,0.00,18134.10,36.86,0.00,,
"Kaanapali Land, LLC (OTCPK:KANP)",2005.00,16.00,0.00,35.00,17.80,21.00,23.10,56.40,187.90,1.35,16.30,0.00,0.60,0.00,55.05,41.78,0.00,,
Roman Catholic Bishop of Oakland,2005.00,16.00,0.00,14.10,8.63,1.30,0.59,91.70,100.70,2.01,-17.70,0.00,0.09,0.00,89.69,45.62,0.00,,
Atlas America Series 25-2004 B LP,2005.00,16.00,0.00,9.45,8.55,3.54,8.38,4.47,42.10,0.03,4.83,0.00,0.37,0.00,4.44,131.47,0.00,,
Atlas America Public #14-2004 LP,2005.00,16.00,0.00,12.00,10.80,0.21,10.60,9.12,72.00,0.04,3.81,0.00,0.02,0.00,9.08,217.14,0.00,,
Atlas America Public #14-2005 (a) Lp,2005.00,16.00,0.00,5.64,5.25,3.20,5.18,11.10,91.70,0.03,1.08,0.00,0.57,0.00,11.07,326.47,0.00,,
"Lincoln Benefit Life Company, Inc.",2005.00,16.00,0.00,13.50,13.50,8.79,13.90,19393.40,22475.50,31.80,11.60,0.00,0.65,0.00,19361.60,609.86,0.00,,
Southwest Oil & Gas Income Fund VIII-A LP,2005.00,16.00,0.00,2.35,1.55,1.41,1.44,0.47,0.82,0.00,1.46,0.00,0.60,0.00,0.47,,0.00,,
Talcott Resolution Life Insurance Company,2005.00,16.00,0.00,5904.00,1914.00,909.00,1355.00,2309.00,207624.00,0.00,1288.00,0.00,0.15,0.00,2309.00,,0.00,,
United Services Automobile Association,2005.00,16.00,0.00,11739.00,4268.00,1388.00,2392.00,4988.00,51038.00,0.00,1461.00,0.00,0.12,0.00,4988.00,,0.00,,
Domtar Corporation (NYSE:UFS),2005.00,16.00,0.00,3267.00,483.00,-478.00,317.00,908.00,4970.00,330.00,190.00,0.04,-0.15,11.10,578.00,2.75,0.06,,
Sterling Shoes Inc,2005.00,16.00,0.00,74.90,37.60,6.09,9.75,16.60,67.70,11.00,13.20,0.11,0.08,1.10,5.60,1.51,0.08,,
Hanfeng Evergreen Inc. (OTCPK:HFGV.F),2005.00,16.00,0.00,9.87,3.11,8.44,0.78,19.50,60.10,5.45,13.80,1.77,0.86,1.38,14.05,3.58,0.10,,
Spansion Inc.,2005.00,4.00,1.00,2002.80,192.90,-304.10,257.40,1672.80,3302.00,790.90,321.30,0.13,-0.15,33.72,881.90,2.12,0.10,,
Spansion Inc.,2005.00,4.00,1.00,2002.80,192.90,-304.10,257.40,1672.80,3302.00,790.90,321.30,0.13,-0.15,33.72,881.90,2.12,0.10,,
Harvest Oil & Gas Corp. (OTCPK:HRST),2005.00,13.00,1.00,51.10,38.20,15.10,26.90,18.30,77.40,19.00,28.00,0.12,0.30,3.28,-0.70,0.96,0.12,,
Harvest Oil & Gas Corp. (OTCPK:HRST),2005.00,16.00,0.00,51.10,38.20,15.10,26.90,18.30,77.40,19.00,28.00,0.12,0.30,3.28,-0.70,0.96,0.12,,
Sun Life Assurance Company Of Canada,2005.00,16.00,0.00,12929.80,3197.50,1139.30,1677.20,7760.80,70512.20,4323.10,2713.60,0.19,0.09,325.38,3437.70,1.80,0.12,,
Dollar General Corporation (NYSE:DG),2005.00,16.00,0.00,8582.20,2571.30,350.20,847.80,1735.20,2980.30,810.50,555.50,0.08,0.04,69.52,924.70,2.14,0.13,,
"National CineMedia, Inc. (NasdaqGS:NCMI)",2005.00,16.00,0.00,116.60,50.60,-5.20,7.80,37.60,48.80,39.00,9.40,0.17,-0.04,1.30,-1.40,0.96,0.14,,
Allegiant Travel Company (NasdaqGS:ALGT),2005.00,16.00,0.00,132.50,30.10,7.29,13.60,77.10,170.10,66.80,44.00,0.47,0.06,6.43,10.30,1.15,0.15,,
Euronav MI II Inc.,2005.00,6.00,1.00,567.90,344.00,212.40,282.10,471.30,1149.10,32.90,249.60,0.14,0.37,38.08,438.40,14.33,0.15,,
Euronav MI II Inc.,2005.00,6.00,1.00,567.90,344.00,212.40,282.10,471.30,1149.10,32.90,249.60,0.14,0.37,38.08,438.40,14.33,0.15,,
"CTO Realty Growth, Inc.",2005.00,16.00,0.00,43.50,29.70,14.80,23.50,18.10,143.30,9.84,31.40,0.26,0.34,6.18,8.26,1.84,0.20,,
"Vitacost.com, Inc.",2005.00,16.00,0.00,41.50,12.00,-0.62,0.05,5.38,9.23,6.11,0.48,1.77,-0.01,0.09,-0.73,0.88,0.20,,
Pound-Maker Investments Ltd.,2005.00,16.00,0.00,38.00,9.80,3.96,6.98,14.10,19.90,5.53,8.94,0.27,0.10,1.87,8.57,2.55,0.21,,
Symetra Financial Corporation,2005.00,16.00,0.00,1642.20,492.00,145.50,227.90,659.90,20980.10,311.60,861.20,0.83,0.09,188.93,348.30,2.12,0.22,,
Goodrich Petroleum Corporation (AMEX:GDP),2005.00,11.00,1.00,35.30,29.10,-17.50,31.50,38.70,296.50,70.90,45.60,0.32,-0.50,10.05,-32.20,0.55,0.22,,
Goodrich Petroleum Corporation (AMEX:GDP),2005.00,16.00,0.00,35.30,29.10,-17.50,31.50,38.70,296.50,70.90,45.60,0.32,-0.50,10.05,-32.20,0.55,0.22,,
BNL Financial Corp.,2005.00,16.00,0.00,46.50,12.90,2.30,2.96,3.07,26.60,4.65,3.04,0.27,0.05,0.80,-1.58,0.66,0.26,,
California Steel Industries Inc.,2005.00,16.00,0.00,1234.40,114.10,43.40,113.90,410.50,654.80,132.20,170.60,0.40,0.04,45.67,278.30,3.11,0.27,,
ReneSola Ltd (NYSE:SOL),2005.00,16.00,0.00,5.09,1.41,1.19,0.65,6.77,10.10,7.32,1.08,0.54,0.23,0.35,-0.55,0.92,0.32,,
Prairie West Terminal Ltd.,2005.00,16.00,0.00,35.60,3.94,1.02,2.18,4.49,10.20,1.99,2.95,0.44,0.03,0.95,2.50,2.26,0.32,,
"Renewable Energy Group, Inc. (NasdaqGS:REGI)",2005.00,16.00,0.00,86.30,12.90,6.51,11.20,13.00,20.70,3.61,6.43,0.22,0.08,2.46,9.39,3.60,0.38,,
Glenbriar Technologies Inc. (CNSX:GTI.X),2005.00,16.00,0.00,4.14,1.04,0.13,0.28,1.10,3.93,0.85,0.31,0.44,0.03,0.12,0.25,1.30,0.39,,
ENMAX Corporation,2005.00,16.00,0.00,1113.90,192.10,100.10,192.10,482.40,1536.70,221.90,68.50,0.15,0.09,27.85,260.50,2.17,0.41,,
Federal Express Corporation (US),2005.00,16.00,0.00,20392.00,6258.00,914.00,2281.00,3782.00,13684.00,3150.00,1843.00,0.34,0.04,770.98,632.00,1.20,0.42,,
Berry Corporation (NasdaqGS:BRY),2005.00,16.00,0.00,393.40,239.30,112.40,208.50,74.90,635.10,129.60,187.80,0.40,0.29,83.82,-54.70,0.58,0.45,,
"Inteliquent, Inc.",2005.00,16.00,0.00,28.00,8.42,-0.47,4.01,10.60,31.20,6.90,2.15,0.24,-0.02,0.97,3.70,1.54,0.45,,
Unit Corporation (OTCPK:UNCP),2005.00,16.00,0.00,885.60,465.90,212.40,452.40,223.70,1456.20,172.50,317.80,0.32,0.24,143.86,51.20,1.30,0.45,,
Twoco Petroleums Ltd.,2005.00,16.00,0.00,9.27,8.37,2.60,7.79,3.59,29.80,6.47,6.66,0.39,0.28,3.06,-2.88,0.55,0.46,,
"InnerWorkings, Inc.",2005.00,16.00,0.00,76.90,15.60,4.63,4.88,23.70,26.70,20.10,0.76,0.07,0.06,0.35,3.60,1.18,0.46,,
"Alliance Holdings GP, L.P.",2005.00,16.00,0.00,838.70,252.30,75.60,220.80,207.30,532.80,131.20,193.60,0.41,0.09,91.19,76.10,1.58,0.47,,
Anterra Energy Inc.,2005.00,16.00,0.00,4.27,2.50,0.38,1.55,1.42,9.52,3.87,2.45,0.75,0.09,1.16,-2.45,0.37,0.48,,
Weyburn Inland Terminal Ltd,2005.00,16.00,0.00,37.80,9.08,1.52,3.17,25.20,39.00,15.20,3.37,0.52,0.04,1.65,10.00,1.66,0.49,,
Nautilus Marine Services PLC,2005.00,16.00,0.00,19.00,9.34,4.10,9.12,14.40,86.30,3.77,4.60,0.25,0.22,2.27,10.63,3.82,0.49,,
Travelport Limited,2005.00,16.00,0.00,2385.00,1388.00,-50.00,549.00,1555.00,8022.00,960.00,542.00,0.49,-0.02,269.01,595.00,1.62,0.50,,
Nationwide Life Insurance Company,2005.00,16.00,0.00,3433.10,1225.20,524.80,752.50,1941.50,106958.50,242.30,1881.30,1.25,0.15,940.63,1699.20,8.01,0.50,,
"Golden Grain Energy, LLC",2005.00,16.00,0.00,81.40,16.90,18.80,19.30,19.00,67.50,18.90,23.60,0.63,0.23,12.16,0.10,1.01,0.52,,
"Continental Resources, Inc. (NYSE:CLR)",2005.00,16.00,0.00,359.70,299.00,121.20,262.50,88.80,600.20,99.30,265.30,0.52,0.34,137.03,-10.50,0.89,0.52,,
"The PMI Group, Inc. (OTCPK:PMIR)",2005.00,6.00,1.00,1019.90,474.10,409.20,504.50,871.20,5254.10,616.80,428.00,0.45,0.40,224.50,254.40,1.41,0.52,,
"The PMI Group, Inc. (OTCPK:PMIR)",2005.00,6.00,1.00,1019.90,474.10,409.20,504.50,871.20,5254.10,616.80,428.00,0.45,0.40,224.50,254.40,1.41,0.52,,
"Lumber Liquidators Holdings, Inc. (NYSE:LL)",2005.00,16.00,0.00,244.90,86.10,10.70,20.40,40.70,55.20,23.60,7.99,0.21,0.04,4.32,17.10,1.72,0.54,,
Universal American Corp.,2005.00,16.00,0.00,856.70,190.10,53.90,88.30,667.90,2224.30,145.10,62.60,0.38,0.06,33.91,522.80,4.60,0.54,,
"CMARK International, Inc. (OTCPK:CMIT)",2005.00,16.00,0.00,12.30,3.56,1.23,1.74,3.50,4.21,2.55,0.48,0.15,0.10,0.26,0.95,1.37,0.55,,
Liberty Starz Group,2005.00,16.00,0.00,1004.00,153.00,-33.00,153.00,852.00,11343.00,408.00,124.00,0.44,-0.03,67.93,444.00,2.09,0.55,,
Great Sandhills Terminal Ltd.,2005.00,16.00,0.00,2.08,1.61,0.10,0.87,2.65,6.65,1.30,0.86,0.55,0.05,0.47,1.35,2.04,0.55,,
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2005.00,16.00,0.00,1337.20,349.10,50.00,178.20,589.30,1102.20,176.90,86.30,0.27,0.04,48.65,412.40,3.33,0.56,,
Tidewater Inc. (NYSE:TDW),2005.00,12.00,1.00,810.70,373.60,223.50,292.60,444.00,2295.30,99.50,233.10,0.45,0.28,132.84,344.50,4.46,0.57,,
Tidewater Inc. (NYSE:TDW),2005.00,16.00,0.00,810.70,373.60,223.50,292.60,444.00,2295.30,99.50,233.10,0.45,0.28,132.84,344.50,4.46,0.57,,
Denbury Inc. (NYSE:DEN),2005.00,15.00,1.00,557.20,418.80,166.50,361.30,299.20,1505.10,154.10,361.00,0.60,0.30,214.97,145.10,1.94,0.60,,
Denbury Inc. (NYSE:DEN),2005.00,16.00,0.00,557.20,418.80,166.50,361.30,299.20,1505.10,154.10,361.00,0.60,0.30,214.97,145.10,1.94,0.60,,
Winland Holdings Corporation (OTCPK:WELX),2005.00,16.00,0.00,30.40,7.30,2.05,3.80,9.02,13.90,3.03,1.83,0.29,0.07,1.09,5.99,2.98,0.60,,
BNSF Railway Company,2005.00,16.00,0.00,12846.00,4051.00,1781.00,4051.00,1904.00,32993.00,3332.00,2742.00,0.42,0.14,1709.52,-1428.00,0.57,0.62,,
Bellatrix Exploration Ltd.,2005.00,16.00,0.00,103.70,82.50,11.90,71.10,50.70,627.30,146.00,93.30,0.84,0.11,59.94,-95.30,0.35,0.64,,
Voya Retirement Insurance and Annuity Company,2005.00,16.00,0.00,2097.70,820.10,272.70,307.80,3599.40,61655.90,992.20,1058.90,2.22,0.13,683.32,2607.20,3.63,0.65,,
"Approach Resources, Inc.",2005.00,16.00,0.00,41.30,38.40,12.10,35.00,19.50,108.40,32.70,40.60,0.75,0.29,26.22,-13.20,0.60,0.65,,
United Farmers of Alberta Co-operative Limited,2005.00,16.00,0.00,1231.00,178.60,33.50,85.40,297.30,430.00,112.10,56.90,0.44,0.03,37.23,185.20,2.65,0.65,,
Superior Offshore International Inc.,2005.00,3.00,1.00,82.40,41.10,14.00,23.00,31.80,49.20,21.80,11.10,0.32,0.17,7.29,10.00,1.46,0.66,,
"Lake Area Corn Processors, LLC (OTCPK:LKCR.U)",2005.00,16.00,0.00,80.00,16.80,10.90,15.60,9.04,42.90,7.10,14.30,0.60,0.14,9.41,1.94,1.27,0.66,,
The Co-operators Group Limited,2005.00,16.00,0.00,2285.30,721.70,118.60,207.30,1086.30,5656.00,2806.00,256.20,0.83,0.05,172.47,-1719.70,0.39,0.67,,
"Crocs, Inc. (NasdaqGS:CROX)",2005.00,16.00,0.00,108.60,60.80,17.00,30.20,56.40,78.00,46.30,10.50,0.24,0.16,7.22,10.10,1.22,0.69,,
"The Ensign Group, Inc. (NasdaqGS:ENSG)",2005.00,16.00,0.00,300.90,45.40,18.40,34.40,63.70,119.40,44.60,20.40,0.42,0.06,14.41,19.10,1.43,0.71,,
A.M. Castle & Co. (OTCPK:CTAM),2005.00,16.00,0.00,959.00,173.40,38.90,80.50,270.10,423.70,138.10,59.80,0.53,0.04,42.67,132.00,1.96,0.71,,
Philip Morris International Inc. (NYSE:PM),2005.00,16.00,0.00,20013.00,12368.00,5620.00,8352.00,10025.00,23135.00,6334.00,5158.00,0.44,0.28,3699.94,3691.00,1.58,0.72,,
FGIC Corporation,2005.00,5.00,1.00,344.10,273.60,190.50,267.30,386.70,3752.00,1250.60,369.80,1.03,0.55,275.32,-863.90,0.31,0.74,,
A&W Food Services of Canada Inc.,2005.00,16.00,0.00,48.40,14.60,2.55,14.60,12.10,89.40,11.30,6.59,0.34,0.05,4.96,0.80,1.07,0.75,,
Telesat Canada,2005.00,16.00,0.00,407.30,230.00,77.80,230.00,226.30,1427.90,259.90,197.50,0.65,0.19,150.19,-33.60,0.87,0.76,,
"DCP Midstream, LLC",2005.00,16.00,0.00,13034.00,1624.00,2170.00,1429.00,2706.00,7711.00,3068.00,1764.00,0.96,0.17,1374.70,-362.00,0.88,0.78,,
"KBR, Inc. (NYSE:KBR)",2005.00,16.00,0.00,9351.00,493.00,240.00,391.00,3510.00,5182.00,2566.00,527.00,1.06,0.03,414.46,944.00,1.37,0.79,,
"Maverick Natural Resources, LLC",2005.00,11.00,1.00,115.30,82.30,39.00,52.80,21.70,333.50,41.00,45.90,0.69,0.34,36.43,-19.30,0.53,0.79,,
"Maverick Natural Resources, LLC",2005.00,16.00,0.00,115.30,82.30,39.00,52.80,21.70,333.50,41.00,45.90,0.69,0.34,36.43,-19.30,0.53,0.79,,
"IMS Health Holdings, Inc.",2005.00,16.00,0.00,1754.80,995.70,284.10,543.40,821.00,1973.00,549.00,309.20,0.46,0.16,248.33,272.00,1.50,0.80,,
Intrado Corporation,2005.00,16.00,0.00,1523.90,836.50,150.30,376.20,316.30,1498.70,206.30,276.30,0.61,0.10,229.86,110.00,1.53,0.83,,
"EPL Oil & Gas, Inc.",2005.00,4.00,1.00,402.90,351.50,73.10,232.80,143.20,931.30,146.90,270.00,0.98,0.18,228.38,-3.70,0.97,0.85,,
"EPL Oil & Gas, Inc.",2005.00,4.00,1.00,402.90,351.50,73.10,232.80,143.20,931.30,146.90,270.00,0.98,0.18,228.38,-3.70,0.97,0.85,,
Designer Brands Inc. (NYSE:DBI),2005.00,16.00,0.00,1533.40,618.40,-183.40,90.90,743.70,1086.60,558.70,32.70,0.31,-0.12,27.91,185.00,1.33,0.85,,
AGT Food and Ingredients Inc.,2005.00,16.00,0.00,7.84,1.89,0.48,0.57,1.72,10.20,1.87,1.09,1.66,0.06,0.94,-0.15,0.92,0.86,,
"Hercules Offshore, Inc.",2005.00,11.00,1.00,161.30,83.50,27.50,69.60,100.20,354.80,30.10,54.80,0.71,0.17,49.42,70.10,3.33,0.90,,
"Hercules Offshore, Inc.",2005.00,16.00,0.00,161.30,83.50,27.50,69.60,100.20,354.80,30.10,54.80,0.71,0.17,49.42,70.10,3.33,0.90,,
Pilgrim's Pride Corporation (NasdaqGS:PPC),2005.00,3.00,1.00,5641.80,702.50,242.10,523.90,1076.50,2563.10,698.50,381.70,0.66,0.04,346.82,378.00,1.54,0.91,,
Pilgrim's Pride Corporation (NasdaqGS:PPC),2005.00,3.00,1.00,5641.80,702.50,242.10,523.90,1076.50,2563.10,698.50,381.70,0.66,0.04,346.82,378.00,1.54,0.91,,
"NII Holdings, Inc.",2005.00,9.00,1.00,1745.80,1030.00,174.80,488.70,1279.60,2621.00,489.00,316.30,0.59,0.10,287.84,790.60,2.62,0.91,,
"NII Holdings, Inc.",2005.00,16.00,0.00,1745.80,1030.00,174.80,488.70,1279.60,2621.00,489.00,316.30,0.59,0.10,287.84,790.60,2.62,0.91,,
"SOI Holdings, Inc.",2005.00,16.00,0.00,209.20,42.60,3.42,14.80,54.90,128.00,59.80,19.00,1.17,0.02,17.32,-4.90,0.92,0.91,,
The Davey Tree Expert Company,2005.00,16.00,0.00,431.60,148.00,13.30,48.30,85.30,194.10,58.40,32.20,0.62,0.03,30.14,26.90,1.46,0.94,,
"Basic Energy Services, Inc. (OTCPK:BASX)",2005.00,11.00,1.00,459.80,176.90,44.80,121.50,132.70,497.00,63.30,99.20,0.77,0.10,94.04,69.40,2.10,0.95,,
"Basic Energy Services, Inc. (OTCPK:BASX)",2005.00,16.00,0.00,459.80,176.90,44.80,121.50,132.70,497.00,63.30,99.20,0.77,0.10,94.04,69.40,2.10,0.95,,
Genco Shipping & Trading Limited (NYSE:GNK),2005.00,9.00,1.00,116.90,97.50,54.50,91.40,49.70,490.00,5.98,88.20,0.92,0.47,83.72,43.72,8.31,0.95,,
Genco Shipping & Trading Limited (NYSE:GNK),2005.00,16.00,0.00,116.90,97.50,54.50,91.40,49.70,490.00,5.98,88.20,0.92,0.47,83.72,43.72,8.31,0.95,,
Hamilton Utilities Corporation,2005.00,16.00,0.00,74.90,37.70,10.60,44.80,120.40,386.30,96.70,52.20,1.12,0.14,50.18,23.70,1.25,0.96,,
Evergreen Gaming Corporation (TSXV:TNA),2005.00,16.00,0.00,51.00,19.60,2.38,6.26,8.11,24.60,7.31,7.26,1.12,0.05,7.01,0.80,1.11,0.97,,
"PAETEC Holding, LLC",2005.00,16.00,0.00,509.40,271.60,14.50,79.50,141.90,355.20,98.60,64.50,0.79,0.03,62.49,43.30,1.44,0.97,,
"Kaiser Foundation Health Plan, Inc.",2005.00,16.00,0.00,31405.00,2218.00,1009.00,2209.00,6266.00,23986.00,5168.00,2644.00,1.16,0.03,2562.44,1098.00,1.21,0.97,,
Terra Energy Corp. (OTCPK:TTRH.F),2005.00,16.00,0.00,29.30,18.10,1.01,12.30,19.00,107.90,19.70,14.30,1.13,0.03,13.90,-0.70,0.96,0.97,,
"Intrepid Potash, Inc. (NYSE:IPI)",2005.00,16.00,0.00,139.00,41.90,34.50,39.50,29.10,106.50,19.10,37.80,0.94,0.25,36.97,10.00,1.52,0.98,,
"QEP Resources, Inc. (NYSE:QEP)",2005.00,16.00,0.00,1828.20,679.10,258.20,608.00,577.70,2621.30,770.10,520.40,0.87,0.14,526.53,-192.40,0.75,1.01,,
Peabody Energy Corporation (NYSE:BTU),2005.00,11.00,1.00,3666.20,780.90,422.70,627.80,1305.20,6852.00,1022.90,725.30,1.20,0.12,753.36,282.30,1.28,1.04,,
Peabody Energy Corporation (NYSE:BTU),2005.00,16.00,0.00,3666.20,780.90,422.70,627.80,1305.20,6852.00,1022.90,725.30,1.20,0.12,753.36,282.30,1.28,1.04,,
"SilverBow Resources, Inc. (NYSE:SBOW)",2005.00,10.00,1.00,355.90,322.80,115.80,262.80,115.10,1204.40,98.40,285.30,1.13,0.33,296.96,16.70,1.17,1.04,,
"SilverBow Resources, Inc. (NYSE:SBOW)",2005.00,16.00,0.00,355.90,322.80,115.80,262.80,115.10,1204.40,98.40,285.30,1.13,0.33,296.96,16.70,1.17,1.04,,
"Owens Realty Mortgage, Inc.",2005.00,16.00,0.00,31.00,22.60,20.90,22.90,23.60,319.00,1.90,20.90,0.96,0.67,21.96,21.70,12.42,1.05,,
Stone Energy Corporation,2005.00,11.00,1.00,623.10,508.40,136.80,481.10,301.70,2140.30,285.20,461.20,1.01,0.22,485.91,16.50,1.06,1.05,,
Stone Energy Corporation,2005.00,16.00,0.00,623.10,508.40,136.80,481.10,301.70,2140.30,285.20,461.20,1.01,0.22,485.91,16.50,1.06,1.05,,
HealthSpring Inc.,2005.00,16.00,0.00,856.80,196.60,29.30,73.80,149.20,591.80,117.30,72.10,1.06,0.03,78.23,31.90,1.27,1.08,,
"T-Mobile US, Inc. (NasdaqGS:TMUS)",2005.00,16.00,0.00,14806.00,9301.00,3936.00,4185.00,3482.00,36992.00,3173.00,5898.00,1.53,0.27,6403.05,309.00,1.10,1.09,,
"MedAssets, Inc.",2005.00,16.00,0.00,98.60,91.10,16.50,25.20,98.30,219.70,52.30,28.60,1.25,0.17,31.50,46.00,1.88,1.10,,
"Ulta Beauty, Inc. (NasdaqGS:ULTA)",2005.00,16.00,0.00,579.10,174.30,16.00,51.70,145.50,282.60,69.00,37.60,0.82,0.03,42.55,76.50,2.11,1.13,,
"BMC Stock Holdings, Inc.",2005.00,4.00,1.00,2878.40,630.40,129.50,264.80,634.40,1150.50,329.90,198.30,0.85,0.04,225.61,304.50,1.92,1.14,,
"Rosetta Resources, Inc.",2005.00,16.00,0.00,210.20,174.60,36.20,145.30,167.30,1119.30,101.80,123.10,0.97,0.17,140.21,65.50,1.64,1.14,,
Essential Energy Services Ltd. (TSX:ESN),2005.00,16.00,0.00,29.20,13.80,3.03,8.88,11.10,64.50,25.70,18.70,2.41,0.10,21.40,-14.60,0.43,1.14,,
"InterMetro Communications, Inc. (OTCPK:IMTO)",2005.00,16.00,0.00,10.60,3.22,-1.11,0.13,1.46,2.98,4.62,1.34,11.60,-0.10,1.54,-3.16,0.32,1.15,,
Realogy Holdings Corp. (NYSE:RLGY),2005.00,16.00,0.00,7135.00,3297.00,627.00,1169.00,1160.00,5439.00,1819.00,617.00,0.62,0.09,721.27,-659.00,0.64,1.17,,
"Laxai Pharma, Ltd. (OTCPK:LAXA.F)",2005.00,6.00,1.00,12.10,4.37,0.28,0.44,6.76,12.40,4.56,0.35,0.95,0.02,0.41,2.20,1.48,1.18,,
"root9B Holdings, Inc. (OTCPK:RTNB)",2005.00,16.00,0.00,10.60,2.76,0.15,0.30,1.13,4.17,1.04,0.20,0.80,0.01,0.24,0.09,1.09,1.19,,
"Marina District Development Company, LLC",2005.00,16.00,0.00,764.00,358.60,171.20,251.70,110.40,1141.00,109.30,244.50,1.16,0.22,291.97,1.10,1.01,1.19,,
CRS Electronics Inc.,2005.00,16.00,0.00,1.53,0.75,0.27,0.37,0.46,0.64,0.32,0.19,0.61,0.18,0.23,0.13,1.41,1.20,,
"Delek US Holdings, Inc. (NYSE:DK)",2005.00,16.00,0.00,2031.90,301.80,64.10,134.70,251.80,606.20,175.80,148.70,1.33,0.03,179.15,76.00,1.43,1.20,,
Chevron Phillips Chemical Company LLC,2005.00,16.00,0.00,10853.00,1252.00,853.00,1032.00,2275.00,6960.00,1657.00,1031.00,1.21,0.08,1248.72,618.00,1.37,1.21,,
"LAACO, Ltd. (OTCPK:LAAC.Z)",2005.00,16.00,0.00,48.70,46.90,16.20,18.60,11.30,169.00,7.07,17.30,1.14,0.33,21.20,4.23,1.60,1.23,,
BRP Inc. (TSX:DOO),2005.00,16.00,0.00,2064.70,424.40,53.90,166.50,471.40,1142.30,435.60,127.90,0.94,0.03,157.18,35.80,1.08,1.23,,
Belk Inc.,2005.00,16.00,0.00,2968.80,1036.40,136.90,375.10,1089.30,2437.20,439.60,229.00,0.75,0.05,282.08,649.70,2.48,1.23,,
"Global Geophysical Services, LLC",2005.00,11.00,1.00,24.70,7.24,1.01,3.80,8.72,34.20,18.20,7.56,2.54,0.04,9.65,-9.48,0.48,1.28,,
"Global Geophysical Services, LLC",2005.00,16.00,0.00,24.70,7.24,1.01,3.80,8.72,34.20,18.20,7.56,2.54,0.04,9.65,-9.48,0.48,1.28,,
Pennsylvania Power Company,2005.00,16.00,0.00,540.60,301.80,65.90,193.30,250.40,815.00,196.10,162.00,1.10,0.12,212.63,54.30,1.28,1.31,,
Gates Industrial Corporation plc (NYSE:GTES),2005.00,16.00,0.00,5093.30,1474.20,330.40,721.60,2175.30,4431.60,933.30,457.20,0.84,0.06,604.70,1242.00,2.33,1.32,,
Penn Virginia Corporation (NasdaqGS:PVAC),2005.00,11.00,1.00,672.40,335.80,62.10,242.20,178.20,1251.50,154.50,231.40,1.27,0.09,307.59,23.70,1.15,1.33,,
Penn Virginia Corporation (NasdaqGS:PVAC),2005.00,16.00,0.00,672.40,335.80,62.10,242.20,178.20,1251.50,154.50,231.40,1.27,0.09,307.59,23.70,1.15,1.33,,
Saskatchewan Telecommunications Holding Corporation,2005.00,16.00,0.00,839.80,252.50,55.20,252.50,187.60,1041.20,187.00,167.70,0.89,0.07,224.73,0.60,1.00,1.34,,
Sprint Corporation,2005.00,16.00,0.00,28771.00,17434.00,1785.00,7964.00,19092.00,102760.00,14051.00,10679.00,1.80,0.06,14335.20,5041.00,1.36,1.34,,
Bell Aliant Regional Communications Inc.,2005.00,16.00,0.00,1785.30,671.60,171.10,671.60,487.80,2459.90,290.20,450.60,0.92,0.10,617.87,197.60,1.68,1.37,,
"Grubb & Ellis Company, Inc.",2005.00,7.00,1.00,92.90,58.50,18.10,26.90,67.30,86.30,50.60,23.50,1.20,0.19,32.28,16.70,1.33,1.37,,
"Grubb & Ellis Company, Inc.",2005.00,10.00,1.00,92.90,58.50,18.10,26.90,67.30,86.30,50.60,23.50,1.20,0.19,32.28,16.70,1.33,1.37,,
WebMD Health Corp.,2005.00,16.00,0.00,852.00,324.00,68.80,103.30,914.30,2195.70,314.70,161.30,2.15,0.08,222.10,599.60,2.91,1.38,,
"Cellco Partnership, Inc.",2005.00,16.00,0.00,32301.00,22908.00,6152.00,12051.00,4768.00,76334.00,7782.00,11497.00,1.33,0.19,16027.83,-3014.00,0.61,1.39,,
Vancouver Airport Authority,2005.00,16.00,0.00,297.40,140.60,65.70,131.10,146.20,993.20,180.90,110.50,1.18,0.22,154.70,-34.70,0.81,1.40,,
BRE Select Hotels Corp,2005.00,16.00,0.00,101.80,58.80,23.80,33.10,46.90,854.30,5.63,28.90,1.24,0.23,41.04,41.27,8.33,1.42,,
